n,question,items,core_dsm_symptoms,louvain_comm_consensus_r1.086,walktrap_communities
54,Me sentí pesimista (que veía las cosas de modo negativo),promis_25,depressed mood,7,4
55,Sentí que mi vida estaba vacía,promis_26,depressed mood,7,4
97,Me siento alegre,hads_06,depressed mood,8,2
99,He perdido interés en mi aspecto personal,hads_10,depressed mood,8,2
100,Me siento optimista respecto al futuro,hads_12,depressed mood,8,2
101,"Me divierto con un buen libro, la radio, o un programa de televisión",hads_14,depressed mood,8,3
96,Puedo reírme y ver el lado divertido de las cosas,hads_04,depressed mood,8,4
84,Me he sentido desanimado/a y triste,dass_13,depressed mood,11,2
81,No he podido sentir ninguna emoción positiva,dass_03,depressed mood,11,3
16,Se sentía cansado/a todo el tiempo,cesd_16,fatigue,3,2
24,Sentirse cansado/a o tener poca energía,phq_04,fatigue,3,2
7,No tenía ganas de hacer nada,cesd_07,fatigue,3,4
71,Nivel de energía,qids_14,fatigue,6,2
57,Me sentí completamente agotado/a emocionalmente,promis_28,fatigue,7,2
115,Me siento débil y me canso fácilmente,sas_07,fatigue,9,2
72,Sentimiento de mayor lentitud,qids_15,fatigue,9,3
98,Me siento como si cada día estuviera más lento/a.,hads_08,fatigue,9,3
77,He estado preocupado/a por situaciones en las que pudiera ser presa del pánico y hacer el ridículo,dass_09,fear/keyed up,9,3
78,He sentido que estaba al borde del pánico,dass_15,fear/keyed up,9,3
80,Me he sentido asustado/a sin una razón de peso,dass_20,fear/keyed up,9,3
89,"Tengo una sensación de miedo, como si algo horrible me fuera a suceder",hads_03,fear/keyed up,9,3
94,Me asaltan sentimientos repentinos de pánico,hads_13,fear/keyed up,9,3
108,"Ha tenido miedo, como si fuera a suceder algo terrible",gad_07,fear/keyed up,9,3
110,Me da miedo sin razón alguna,sas_02,fear/keyed up,9,3
107,Se ha irritado o enfadado con facilidad,gad_06,Irritability,10,2
111,Me enojo fácilmente o siento pánico,sas_03,Irritability,10,2
28,"Moverse o hablar tan lentamente que los demás lo han notado. O bien al contrario, estar tan agitado/a o inquieto/a que se mueve mucho más de lo habitual",phq_08,psychomotor,1,3
13,Se sentía agitado/a,cesd_13,psychomotor,3,2
12,Sentía que se movía muy lento,cesd_12,psychomotor,3,3
112,Siento que me estoy desmoronando,sas_04,restlessness/keyed up,9,3
73,Sensación de inquietud,qids_16,restlessness/keyed up,10,2
88,Me siento tenso/a o nervioso/a,hads_01,restlessness/keyed up,10,2
90,Tengo mi mente llena de preocupaciones,hads_05,restlessness/keyed up,10,2
91,Puedo estar sentado/a confortablemente y sentirme relajado/a,hads_07,restlessness/keyed up,10,2
93,"Me siento inquieto/a, como si no pudiera parar de moverme",hads_11,restlessness/keyed up,10,2
102,"Se ha sentido nervioso/a, ansioso/a o muy alterado/a",gad_01,restlessness/keyed up,10,2
103,No ha podido dejar de preocuparse,gad_02,restlessness/keyed up,10,2
104,Se ha preocupado excesivamente por diferentes cosas,gad_03,restlessness/keyed up,10,2
105,Ha tenido dificultad para relajarse,gad_04,restlessness/keyed up,10,2
106,Se ha sentido tan intranquilo/a que no ha podido quedarse quieto/a,gad_05,restlessness/keyed up,10,2
109,Me siento más nervioso/a y ansioso/a que de costumbre,sas_01,restlessness/keyed up,10,2
11,Dormía más de lo habitual,cesd_11,sleep,1,1
61,Dormir demasiado,qids_04,sleep,1,1
5,Su sueño era inquieto,cesd_05,sleep,4,2
19,Le costaba mucho trabajo dormir,cesd_19,sleep,4,2
23,"Tener problemas para dormir o mantenerse dormido, o dormir demasiado",phq_03,sleep,4,2
58,Problemas a la hora de dormirse,qids_01,sleep,4,2
59,Sueño nocturno alterado,qids_02,sleep,4,2
60,Despertarse demasiado temprano,qids_03,sleep,4,3
123,Tengo pesadillas,sas_15,sleep,9,3
76,"He tenido temblores (p.ej., en las manos)",dass_07,somatic symptoms,9,1
113,Mis brazos y piernas tiemblan,sas_05,somatic symptoms,9,1
118,Tengo desmayos o sensación de desmayos,sas_10,somatic symptoms,9,1
114,"Me molestan los dolores de cabeza, cuello y dolor de espalda",sas_06,somatic symptoms,9,2
121,Tengo que vaciar mi vejiga con frecuencia,sas_13,somatic symptoms,9,2
74,He notado la boca seca,dass_02,somatic symptoms,9,3
75,"He tenido dificultades para respirar (p.ej., respiración excesivamente rápida, falta de aliento sin haber hecho esfuerzo físico)",dass_04,somatic symptoms,9,3
79,"He notado mi corazón sin hacer esfuerzo físico (p.ej., aumento del ritmo cardiaco, ausencia de algún latido)",dass_19,somatic symptoms,9,3
92,"Tengo una sensación extraña, como si tuviera mariposas en el estómago",hads_09,somatic symptoms,9,3
116,Puedo sentir mi corazón latir rápido,sas_08,somatic symptoms,9,3
117,Me molestan los mareos,sas_09,somatic symptoms,9,3
119,Tengo sensación de entumecimiento y hormigueo en mis dedos de manos y pies,sas_11,somatic symptoms,9,3
120,Me molestan los dolores de estómago o la indigestión,sas_12,somatic symptoms,9,3
122,Se me calienta la cara y se me pone enrojecida,sas_14,somatic symptoms,9,3
14,Sentía deseos de estar muerto/a,cesd_14,suicide,1,1
15,Quería hacerse daño,cesd_15,suicide,1,1
29,Tener pensamientos sobre estar muerto(a) o sobre hacerse daño a sí mismo(a) de alguna manera,phq_09,suicide,1,1
69,Pensamientos sobre la muerte o el suicidio,qids_12,suicide,1,1
49,Sentí que no tenía ninguna razón para vivir,promis_20,suicide,1,3
9,Sentía que era una mala persona,cesd_09,worthlessness/guilt,1,1
17,Estaba a disgusto consigo mismo/a,cesd_17,worthlessness/guilt,5,4
26,"Sentirse mal consigo mismo/a o sentirse fracasado/a, o pensar que se ha decepcionado a sí mismo/a o a los que le rodean",phq_06,worthlessness/guilt,5,4
30,Sentí que no valía nada,promis_01,worthlessness/guilt,5,4
35,Sentí que no valía tanto como otras personas,promis_06,worthlessness/guilt,5,4
38,Sentí que tenía la culpa de lo que pasaba,promis_09,worthlessness/guilt,5,4
41,Me sentí decepcionado/a de mí mismo/a,promis_12,worthlessness/guilt,5,4
56,Me sentí culpable,promis_27,worthlessness/guilt,5,4
68,Opinión de sí mismo/a,qids_11,worthlessness/guilt,6,4
32,Me sentí indefenso/a (que no podía hacer nada para ayudarme),promis_03,worthlessness/guilt,7,4
42,Sentí que nadie me necesitaba,promis_13,worthlessness/guilt,7,4
86,He sentido que no valía mucho como persona,dass_17,worthlessness/guilt,11,4
